team1,team2,winner,margin,ground,matchDate,match_id,stage
Namibia,Sri Lanka,Namibia,55 runs,Geelong,2022-10-16,T20I # 1823,Qualifier
Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,2022-10-16,T20I # 1825,Qualifier
Scotland,West Indies,Scotland,42 runs,Hobart,2022-10-17,T20I # 1826,Qualifier
Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,2022-10-17,T20I # 1828,Qualifier
Namibia,Netherlands,Netherlands,5 wickets,Geelong,2022-10-18,T20I # 1830,Qualifier
Sri Lanka,U.A.E.,Sri Lanka,79 runs,Geelong,2022-10-18,T20I # 1832,Qualifier
Ireland,Scotland,Ireland,6 wickets,Hobart,2022-10-19,T20I # 1833,Qualifier
West Indies,Zimbabwe,West Indies,31 runs,Hobart,2022-10-19,T20I # 1834,Qualifier
Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,2022-10-20,T20I # 1835,Qualifier
Namibia,U.A.E.,U.A.E.,7 runs,Geelong,2022-10-20,T20I # 1836,Qualifier
Ireland,West Indies,Ireland,9 wickets,Hobart,2022-10-21,T20I # 1837,Qualifier
Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,2022-10-21,T20I # 1838,Qualifier
Australia,New Zealand,New Zealand,89 runs,Sydney,2022-10-22,T20I # 1839,Super12
Afghanistan,England,England,5 wickets,Perth,2022-10-22,T20I # 1840,Super12
Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,2022-10-23,T20I # 1841,Super12
India,Pakistan,India,4 wickets,Melbourne,2022-10-23,T20I # 1842,Super12
Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,2022-10-24,T20I # 1843,Super12
South Africa,Zimbabwe,no result,,Hobart,2022-10-24,T20I # 1844,Super12
Australia,Sri Lanka,Australia,7 wickets,Perth,2022-10-25,T20I # 1845,Super12
England,Ireland,Ireland,5 runs,Melbourne,2022-10-26,T20I # 1846,Super12
Afghanistan,New Zealand,abandoned,,Melbourne,2022-10-26,T20I # 1846a,Super12
Bangladesh,South Africa,South Africa,104 runs,Sydney,2022-10-27,T20I # 1847,Super12
India,Netherlands,India,56 runs,Sydney,2022-10-27,T20I # 1848,Super12
Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,2022-10-27,T20I # 1849,Super12
Afghanistan,Ireland,abandoned,,Melbourne,2022-10-28,T20I # 1849a,Super12
Australia,England,abandoned,,Melbourne,2022-10-28,T20I # 1849b,Super12
New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,2022-10-29,T20I # 1850,Super12
Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,2022-10-30,T20I # 1851,Super12
Netherlands,Pakistan,Pakistan,6 wickets,Perth,2022-10-30,T20I # 1852,Super12
India,South Africa,South Africa,5 wickets,Perth,2022-10-30,T20I # 1853,Super12
Australia,Ireland,Australia,42 runs,Brisbane,2022-10-31,T20I # 1855,Super12
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,2022-11-01,T20I # 1856,Super12
England,New Zealand,England,20 runs,Brisbane,2022-11-01,T20I # 1858,Super12
Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,2022-11-02,T20I # 1859,Super12
Bangladesh,India,India,5 runs,Adelaide,2022-11-02,T20I # 1860,Super12
Pakistan,South Africa,Pakistan,33 runs,Sydney,2022-11-03,T20I # 1861,Super12
Ireland,New Zealand,New Zealand,35 runs,Adelaide,2022-11-04,T20I # 1862,Super12
Australia,Afghanistan,Australia,4 runs,Adelaide,2022-11-04,T20I # 1864,Super12
England,Sri Lanka,England,4 wickets,Sydney,2022-11-05,T20I # 1867,Super12
Netherlands,South Africa,Netherlands,13 runs,Adelaide,2022-11-06,T20I # 1871,Super12
Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,2022-11-06,T20I # 1872,Super12
India,Zimbabwe,India,71 runs,Melbourne,2022-11-06,T20I # 1873,Super12
New Zealand,Pakistan,Pakistan,7 wickets,Sydney,2022-11-09,T20I # 1877,Super12
England,India,England,10 wickets,Adelaide,2022-11-10,T20I # 1878,Super12
England,Pakistan,England,5 wickets,Melbourne,2022-11-13,T20I # 1879,Super12
